pais,categoria,laboratorio,producto,mkt_am1,mkt_am2,mkt_am3,mkt_am4,mkt_am5,ms_am1,ms_am2,ms_am3,ms_am4,ms_am5,es_genomma,er_aplicado,mkt_usd_am1,mkt_usd_am2,mkt_usd_am3,mkt_usd_am4,mkt_usd_am5,pais_nombre
BRA,BEBIDAS,3 CORACOES,JUNGLE ENDURANCE,266733.97,246513.68,76501.03,6.81,,0.06955590666770735,0.059532977573708026,0.02536331559356977,2.8753119205979293e-06,,False,5.242934838709678,50874.93516620646,47018.26125702312,14591.260878387615,1.2988908329968845,,Brasil
BRA,BEBIDAS,A2F LABORATORIO,HIDRAFITO,651894.09,2206412.64,139793.01,,,0.16999366252926099,0.5328479710151013,0.046347274414541284,,,False,5.242934838709678,124337.62960144582,420835.41143971443,26663.121763001738,,,Brasil
BRA,BEBIDAS,ABBOTT,PEDIALYTE,33128667.64,42827082.85,32361700.42,29927135.43,26736160.29,8.63892407252566,10.342727279299007,10.729267578449853,12.635807525877773,14.396534663095906,False,5.242934838709678,6318725.801321077,8168532.352109117,6172439.943572604,5708088.380012229,5099464.538945128,Brasil
BRA,BEBIDAS,ABBOTT,PEDIALYTE ACTIVE,468586.3,,,,,0.1221927036461322,,,,,False,5.242934838709678,89374.80903640647,,,,,Brasil
BRA,BEBIDAS,ABBOTT,PEDIALYTE PRO,345.26,645.25,1278.75,1461.21,273494.88,9.00330480444341e-05,0.00015582767568694407,0.00042395951813037477,0.0006169507388394861,0.14726791272163095,False,5.242934838709678,65.85243010286408,123.07038325862551,243.89965531494363,278.7007744615826,52164.462922699415,Brasil
BRA,BEBIDAS,ADV FARMA,HIDRORAL,1096394.74,2494147.9899999998,459951.76,796663.03,1801189.17,0.28590557927962934,0.6023359691607336,0.15249339318304422,0.3363663299351932,0.9698805677192455,False,5.242934838709678,209118.51352892845,475716.00005119015,87727.9184559153,151949.82476571543,343545.9767116398,Brasil
BRA,BEBIDAS,AIRELA,HIDRALI 45,10066599.97,17633963.06,15758968.23,12344271.49,9382206.42,2.62505554869695,4.258596631986411,5.22476213256906,5.211986926034385,5.052006663513722,False,5.242934838709678,1920031.4861203693,3363376.3536034785,3005753.2116646315,2354458.3081330094,1789495.141295524,Brasil
BRA,BEBIDAS,ARTE NATIVA,PEDHIDRAT MAIS,1298272.46,2285483.79,1321716.52,1103731.83,786923.4500000001,0.3385489971787802,0.5519436293155952,0.4382047303414709,0.4660166355275136,0.42373215159715144,False,5.242934838709678,247623.2301066541,435916.87867752963,252094.78291461724,210517.93774946782,150092.1667364585,Brasil
BRA,BEBIDAS,ASSIFARMA,NEXTER HIDRACT,1520399.31,2318907.14,1404709.97,228055.46,156294.01,0.3964727571220369,0.5600153580163642,0.46572055678915597,0.0962893660345733,0.08415913535051814,False,5.242934838709678,289990.1213294844,442291.8100906055,267924.3616816929,43497.67201305252,29810.404822514454,Brasil
BRA,BEBIDAS,BELFAR,HIDROTEN,368529.76,801840.02,353930.81,161069.62,40681.58,0.09610107625523885,0.19364411714741997,0.11734297998756069,0.06800666643644326,0.021905680182451853,False,5.242934838709678,70290.73817188575,152937.24691747996,67506.23856448782,30721.270615608173,7759.314439622526,Brasil
