pais,categoria,sub_categoria,laboratorio,producto,mkt_am1,mkt_am2,mkt_am3,mkt_am4,mkt_am5,ms_am1,ms_am2,ms_am3,ms_am4,ms_am5,es_genomma,er_aplicado,mkt_usd_am1,mkt_usd_am2,mkt_usd_am3,mkt_usd_am4,mkt_usd_am5,pais_nombre
ARG,1.C&C - COUGH & COLD,01.GRIPA,GENOMMA LAB,NEXT CB RA,1743173782.249,1118693756.142,75400022.28,,,0.032759902147683,0.0301211234130466,0.0056771167543991,,,True,1397.0500000000002,1247753.32468344,800754.2723180987,53970.88313231451,,,Argentina
ARG,1.C&C - COUGH & COLD,02.TOS,GENOMMA LAB,TUKOL AC,123513028.009,17686438.8,,,,0.0052441006141028,0.000958106264176,,,,True,1397.0500000000002,88409.88368991803,12659.84667692638,,,,Argentina
ARG,1.C&C - COUGH & COLD,02.TOS,GENOMMA LAB,TUKOL FORTE,2671542827.343,2492238127.99,1043179118.51,527760384.16,112176387.45,0.113428029474352,0.135009030887867,0.135396172215872,0.121454406139291,0.0676360678015976,True,1397.0500000000002,1912274.3118306429,1783929.0848502198,746701.3482051465,377767.7135106116,80295.18446011237,Argentina
ARG,1.C&C - COUGH & COLD,02.TOS,GENOMMA LAB,TUKOL MIEL Y TOMILLO,1259289665.074,873118238.3,342434477.22,16580170.0,,0.0534667622711563,0.0472983884964774,0.0444452123586929,0.0038156230772107,,True,1397.0500000000002,901391.9795812604,624972.7914534196,245112.5422998461,11867.986113596506,,Argentina
ARG,1.C&C - COUGH & COLD,02.TOS,GENOMMA LAB,TUKOL RAPIDA ACCION,65900686.572,,,,,0.0027980030648818,,,,,True,1397.0500000000002,47171.31568089903,,,,,Argentina
ARG,2.DOLOR,08.ANALGÉSICOS,GENOMMA LAB,IBU 400 PLUS,78821894.827,,,858.5,88376.68,0.0003351450829322,,,2.44809440515009e-08,4.68458197259996e-06,True,1397.0500000000002,56420.2389513618,,,0.6145091442682795,63.25949679682186,Argentina
ARG,2.DOLOR,08.ANALGÉSICOS,GENOMMA LAB,IBU 400 R.A,190706.48,171686174.28,254948345.61,113098379.47,83612257.98,8.10870370416714e-07,0.0007927454391266,0.0028860316077465,0.0032251078626913,0.0044320342925473,True,1397.0500000000002,136.50655309401952,122891.93248631044,182490.49469238752,80955.14081099459,59849.15212769764,Argentina
ARG,2.DOLOR,08.ANALGÉSICOS,GENOMMA LAB,TAFIROL DUO,4918852418.949,2072606749.721,124860232.101,,,0.0209146101536682,0.009570074904604,0.0014134258276195,,,True,1397.0500000000002,3520885.021258366,1483559.4643863854,89374.20428832181,,,Argentina
ARG,2.DOLOR,08.ANALGÉSICOS,GENOMMA LAB,TAFIROL MIGRA,1851362539.56,924311050.65,452825223.96,192499790.95,86353029.471,0.0078718616600161,0.0042679229868688,0.0051260105493393,0.0054893146326995,0.0045773143451331,True,1397.0500000000002,1325194.1874378151,661616.2990945205,324129.57586342643,137790.19430227976,61810.97990122042,Argentina
ARG,2.DOLOR,08.ANALGÉSICOS,GENOMMA LAB,TAFIROL RESACA,403739646.057,563662672.591,,,,0.0017166722197911,0.0026026615991438,,,,True,1397.0500000000002,288994.4139844672,403466.3559579112,,,,Argentina
