2026-05-03 17:43:55,383 | INFO | root | Log activo: logs\pipeline_20260503_174355.log
2026-05-03 17:43:55,968 | INFO | run_pipeline | ━━━ PASO 1/3: INGEST ━━━
2026-05-03 17:44:10,482 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SAVANT', 'producto': 'TOSTOP MIEL'}
2026-05-03 17:44:10,482 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'VALMAX', 'producto': 'VALMEXINA'}
2026-05-03 17:44:10,483 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'VALMAX', 'producto': 'VALMEXINA FORTE'}
2026-05-03 17:44:10,483 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '04.DOLOR GARGANTA', 'laboratorio': 'EXCELENTIA', 'producto': 'EXPECTOSAN CARAME'}
2026-05-03 17:44:10,483 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '04.DOLOR GARGANTA', 'laboratorio': 'GRAMON-MILLET RMM', 'producto': 'COLLUBIAZOL'}
2026-05-03 17:44:10,483 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '04.DOLOR GARGANTA', 'laboratorio': 'RECKITT BENCKISER', 'producto': 'STREPSILS CRISTAL'}
2026-05-03 17:44:10,484 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '04.DOLOR GARGANTA', 'laboratorio': 'SAVANT', 'producto': 'BUEN.9HIE.DOB.IMPA'}
2026-05-03 17:44:10,484 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '04.DOLOR GARGANTA', 'laboratorio': 'TEMIS LOSTALO', 'producto': 'ASEPTOBRON CARAM.'}
2026-05-03 17:44:10,484 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '04.DOLOR GARGANTA', 'laboratorio': 'TEMIS LOSTALO', 'producto': 'ASEPTOBRON N'}
2026-05-03 17:44:10,484 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '05.LIMPIEZA NASAL', 'laboratorio': 'GRAMON-MILLET RMM', 'producto': 'SINRONCAR'}
2026-05-03 17:44:10,484 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '06.DESCONGESTIÓN NASAL', 'laboratorio': 'GLAXO SMITHKLINE', 'producto': 'OTRIVINA'}
2026-05-03 17:44:10,484 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '07.ANTIHISTAMINICOS', 'laboratorio': 'CEVALLOS', 'producto': 'LORATADINA CEVALLOS'}
2026-05-03 17:44:10,484 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '07.ANTIHISTAMINICOS', 'laboratorio': 'EUROFARMA', 'producto': 'LOPTAME'}
