2026-05-03 18:51:33,859 | INFO | root | Log activo: logs\pipeline_20260503_185133.log
2026-05-03 18:51:34,334 | INFO | run_pipeline | ━━━ PASO 1/3: INGEST ━━━
2026-05-03 18:51:43,038 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '07.ANTIHISTAMINICOS', 'laboratorio': 'SAVANT', 'producto': 'DEXITIS'}
2026-05-03 18:51:43,038 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'B.BRAUN', 'producto': 'PARACETAMOL BBM'}
2026-05-03 18:51:43,038 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAGO', 'producto': 'AFEBRIL'}
2026-05-03 18:51:43,039 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAGO', 'producto': 'CEFALEX MAX'}
2026-05-03 18:51:43,039 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAYER', 'producto': 'ASPIRINA PREVENT'}
2026-05-03 18:51:43,039 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAYER', 'producto': 'BAYASPIRINA PROMO'}
2026-05-03 18:51:43,040 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BETA', 'producto': 'TONAL'}
2026-05-03 18:51:43,040 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'CELTYC', 'producto': 'KETOROLAC CELTYC'}
2026-05-03 18:51:43,041 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'DENVER FARMA', 'producto': 'CLONIXINATO DE LISINA DENVER F'}
2026-05-03 18:51:43,041 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'DUNCAN', 'producto': 'ALGINON'}
2026-05-03 18:51:43,042 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'EXCELENTIA', 'producto': 'NODOLERTE GRIP'}
2026-05-03 18:51:43,042 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'FECOFAR', 'producto': 'IBUPROFENO FEC'}
2026-05-03 18:51:43,042 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'FINADIET', 'producto': 'KERAMIX'}
2026-05-03 18:51:43,043 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'GENOMMA LAB', 'producto': 'MATRIX MIGRA'}
2026-05-03 18:51:43,043 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'GENOMMA LAB', 'producto': 'TAFIROL FLEX'}
2026-05-03 18:51:43,043 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'DIPIRONA HLB'}
2026-05-03 18:51:43,044 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'IBUPROFENO HLB'}
2026-05-03 18:51:43,044 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'ROLFITA'}
2026-05-03 18:51:43,044 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'SIEND'}
2026-05-03 18:51:43,045 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'INTERNACIONAL ARG', 'producto': 'KETOROLACO NTH'}
2026-05-03 18:51:43,045 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'ISA', 'producto': 'PARACETAMOL FORTE ISA'}
2026-05-03 18:51:43,046 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'KLONAL', 'producto': 'IBUPROFENO KNL'}
2026-05-03 18:51:43,046 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'KLONAL', 'producto': 'PARACETAMOL KLONAL'}
2026-05-03 18:51:43,046 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'LAFEDAR', 'producto': 'ANALGINA'}
2026-05-03 18:51:43,046 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'LAFEDAR', 'producto': 'IBUFULL'}
2026-05-03 18:51:43,046 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'LAFEDAR', 'producto': 'IBUPROFENO LAF'}
2026-05-03 18:51:43,047 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'MICROSULES', 'producto': 'COPIRON'}
2026-05-03 18:51:43,047 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'MICROSULES', 'producto': 'SINDOL PEDIATRICO'}
2026-05-03 18:51:43,047 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'RICHET', 'producto': 'KETOROLAC RH.'}
2026-05-03 18:51:43,048 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'DUPRAC'}
2026-05-03 18:51:43,049 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'FIEBROLITO'}
2026-05-03 18:51:43,049 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'IBUXIM'}
2026-05-03 18:51:43,050 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'NUEVAPINA 100'}
2026-05-03 18:51:43,050 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'TRB PHARMA', 'producto': 'IBUPROFENO TRB PHARMA'}
2026-05-03 18:51:43,051 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'VALMAX', 'producto': 'IBUPROFENO VALMAX'}
2026-05-03 18:51:43,051 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'VENT', 'producto': 'ASPIRINA C VENT-3'}
2026-05-03 18:51:43,051 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'VENT', 'producto': 'KETOROLAC VENT 3'}
2026-05-03 18:51:43,052 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '09.DOLOR MUSCOESQUELÉTICO', 'laboratorio': 'GENOMMA LAB', 'producto': 'BENGUE'}
2026-05-03 18:51:43,052 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '09.DOLOR MUSCOESQUELÉTICO', 'laboratorio': 'SAVANT', 'producto': 'FLEXIPLEN'}
2026-05-03 18:51:43,052 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'ALEF BIOTECHNOLOGICAL', 'producto': 'NIKIX CBD'}
2026-05-03 18:51:43,052 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'CABUCHI', 'producto': 'DICLOREUMOL'}
2026-05-03 18:51:43,053 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'CABUCHI', 'producto': 'REUMOL'}
2026-05-03 18:51:43,053 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'CABUCHI', 'producto': 'REUMOL DICLO'}
2026-05-03 18:51:43,053 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'DUNCAN', 'producto': 'CURINFLAM'}
2026-05-03 18:51:43,053 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'ELEA', 'producto': 'RATI SALIL FLEX'}
2026-05-03 18:51:43,053 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'EXCELENTIA', 'producto': 'ARTROSTOP'}
2026-05-03 18:51:43,054 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'FORMULAB', 'producto': 'ARTROSTOP AZUFRE'}
2026-05-03 18:51:43,054 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'GRUPO FERRER', 'producto': 'FRIONEX SPRAY'}
2026-05-03 18:51:43,054 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'ISA', 'producto': 'CARTIFLEX CREMA'}
2026-05-03 18:51:43,054 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'OMICRON', 'producto': 'VOLFORTE CRISTAL'}
2026-05-03 18:51:43,054 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'TEVA', 'producto': 'ETINOX CREMA'}
2026-05-03 18:51:43,054 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '11.ARTICULACIONES', 'laboratorio': 'FINADIET', 'producto': 'CRUZAL APM'}
2026-05-03 18:51:43,055 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '11.ARTICULACIONES', 'laboratorio': 'FORMULAB', 'producto': 'ARTROSTOP FLEX COLAGENO II'}
2026-05-03 18:51:43,055 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '11.ARTICULACIONES', 'laboratorio': 'FORMULAB', 'producto': 'GENERDAY COLAGENO'}
2026-05-03 18:51:43,056 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '11.ARTICULACIONES', 'laboratorio': 'GENTECH', 'producto': 'CART TIB GENTECH'}
2026-05-03 18:51:43,056 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '11.ARTICULACIONES', 'laboratorio': 'INNOVAPHARMA', 'producto': 'GENACOL FORMULA ORIGINAL'}
2026-05-03 18:51:43,056 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '11.ARTICULACIONES', 'laboratorio': 'INNOVAPHARMA', 'producto': 'GENACOL FÓRMULA AVANZADA'}
2026-05-03 18:51:43,056 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '11.ARTICULACIONES', 'laboratorio': 'INNOVAPHARMA', 'producto': 'GENACOL SPORT'}
